url,page_type,family,name,root_spelling,pitch_class,in_138_cohort,original_url_mapping,origin_group,source_basis,observation_status,best_query,best_volume,piano_query,piano_volume,intent_fit,index_action
/chords/a-flat-maj7,Detail,Major 7,A♭ Major Seventh,Ab,8,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,abmaj7 chord,140,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/a-flat-major,Detail,Major,A-flat major,Ab,8,False,True,早期 Major/Minor 产品库（本轮未定位逐URL首增commit）,当前CSV+用户Cursor报告；不是直接读取Git工作树,OUTSIDE_138_COHORT,,,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/a-flat-sus2,Detail,Sus2,A♭ Suspended 2nd,Ab,8,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,absus2 chord,20,absus2 piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/a-flat-sus4,Detail,Sus4,A♭ Suspended 4th,Ab,8,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,absus4 chord,20,absus4 piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/a-m7,Detail,Minor 7,A Minor Seventh,A,9,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,am7 chord,3600,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/a-m7-flat5,Detail,Half-diminished 7,A Half-Diminished Seventh,A,9,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,a half diminished chord,50,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/a-madd9,Detail,Minor Add9,A minor add9,A,9,True,False,Add 产品补全：2类型×12根音；N2D关联来自历史记录，commit待核,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,am(add9) piano,20,am(add9) piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/a-maj7,Detail,Major 7,A Major Seventh,A,9,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,amaj7 chord,480,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/a-major,Detail,Major,A major,A,9,False,True,早期 Major/Minor 产品库（本轮未定位逐URL首增commit）,当前CSV+用户Cursor报告；不是直接读取Git工作树,OUTSIDE_138_COHORT,,,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/a-minor,Detail,Minor,A minor,A,9,False,True,早期 Major/Minor 产品库（本轮未定位逐URL首增commit）,当前CSV+用户Cursor报告；不是直接读取Git工作树,OUTSIDE_138_COHORT,,,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/a-sus2,Detail,Sus2,A Suspended 2nd,A,9,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,asus2 chord,720,asus2 piano,320,UNCHECKED,NO_CHANGE_APPROVED
/chords/a-sus4,Detail,Sus4,A Suspended 4th,A,9,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,asus4 chord,590,asus4 piano,260,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-7,Detail,Dominant 7,B Dominant Seventh,B,11,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,b7 chord,9900,b7 piano,590,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-add9,Detail,Add9,B add9,B,11,True,False,Add 产品补全：2类型×12根音；N2D关联来自历史记录，commit待核,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,badd9 chord,20,badd9 piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-augmented,Detail,Augmented,B Augmented,B,11,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,b augmented chord,210,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-diminished,Detail,Diminished,B Diminished,B,11,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,b diminished chord,1900,bdim piano,110,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-flat-7,Detail,Dominant 7,B♭ Dominant Seventh,Bb,10,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,bb7 chord,590,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-flat-add9,Detail,Add9,B-flat add9,Bb,10,True,False,Add 产品补全：2类型×12根音；N2D关联来自历史记录，commit待核,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,bbadd9 chord,20,bbadd9 piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-flat-augmented,Detail,Augmented,B♭ Augmented,Bb,10,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,b flat augmented chord,90,bbaug piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-flat-diminished,Detail,Diminished,B♭ Diminished,Bb,10,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,b flat diminished chord,480,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-flat-m7,Detail,Minor 7,B♭ Minor Seventh,Bb,10,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,bbm7 chord,140,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-flat-m7-flat5,Detail,Half-diminished 7,B♭ Half-Diminished Seventh,Bb,10,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,bbm7b5 chord,20,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-flat-madd9,Detail,Minor Add9,B-flat minor add9,Bb,10,True,False,Add 产品补全：2类型×12根音；N2D关联来自历史记录，commit待核,当前CSV+用户Cursor报告；不是直接读取Git工作树,NO_NUMERIC_DATA,,,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-flat-maj7,Detail,Major 7,B♭ Major Seventh,Bb,10,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,bbmaj7 chord,170,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-flat-major,Detail,Major,B-flat Major,Bb,10,True,False,早期 Major/Minor 产品库（本轮未定位逐URL首增commit）,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,b flat major chord,1900,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-flat-minor,Detail,Minor,B-flat Minor,Bb,10,True,False,早期 Major/Minor 产品库（本轮未定位逐URL首增commit）,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,b flat minor chord,1000,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-flat-sus2,Detail,Sus2,B♭ Suspended 2nd,Bb,10,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,bbsus2 chord,20,bbsus2 piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-flat-sus4,Detail,Sus4,B♭ Suspended 4th,Bb,10,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,bbsus4 chord,20,bbsus4 piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-m7,Detail,Minor 7,B Minor Seventh,B,11,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,bm7 chord,2400,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-m7-flat5,Detail,Half-diminished 7,B Half-Diminished Seventh,B,11,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,b half diminished chord,110,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-madd9,Detail,Minor Add9,B minor add9,B,11,True,False,Add 产品补全：2类型×12根音；N2D关联来自历史记录，commit待核,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,bmadd9,30,bm(add9) piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-maj7,Detail,Major 7,B Major Seventh,B,11,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,bmaj7 chord,210,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-major,Detail,Major,B major,B,11,False,True,早期 Major/Minor 产品库（本轮未定位逐URL首增commit）,当前CSV+用户Cursor报告；不是直接读取Git工作树,OUTSIDE_138_COHORT,,,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-minor,Detail,Minor,B Minor,B,11,True,False,早期 Major/Minor 产品库（本轮未定位逐URL首增commit）,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,b minor chord,18100,b minor chord piano,4400,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-sus2,Detail,Sus2,B Suspended 2nd,B,11,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,bsus2 chord,110,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/b-sus4,Detail,Sus4,B Suspended 4th,B,11,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,bsus4 chord,140,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/c-7,Detail,Dominant 7,C Dominant Seventh,C,0,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,c7 chord,5400,c7 piano,720,UNCHECKED,NO_CHANGE_APPROVED
/chords/c-add9,Detail,Add9,C add9,C,0,True,False,Add 产品补全：2类型×12根音；N2D关联来自历史记录，commit待核,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,cadd9,4400,cadd9 piano,590,UNCHECKED,NO_CHANGE_APPROVED
/chords/c-augmented,Detail,Augmented,C Augmented,C,0,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,c augmented chord,590,c augmented chord piano,70,UNCHECKED,NO_CHANGE_APPROVED
/chords/c-diminished,Detail,Diminished,C Diminished,C,0,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,c diminished chord,1600,c diminished chord piano,480,UNCHECKED,NO_CHANGE_APPROVED
/chords/c-flat-major,Detail,Major,C-flat major,Cb,11,False,True,早期 Major/Minor 产品库（本轮未定位逐URL首增commit）,当前CSV+用户Cursor报告；不是直接读取Git工作树,OUTSIDE_138_COHORT,,,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/c-m7,Detail,Minor 7,C Minor Seventh,C,0,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,cm7 chord,1000,cm7 piano,590,UNCHECKED,NO_CHANGE_APPROVED
/chords/c-m7-flat5,Detail,Half-diminished 7,C Half-Diminished Seventh,C,0,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,cm7b5 chord,20,c minor 7 flat 5 piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/c-madd9,Detail,Minor Add9,C minor add9,C,0,True,False,Add 产品补全：2类型×12根音；N2D关联来自历史记录，commit待核,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,cmadd9,30,cm(add9) piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/c-maj7,Detail,Major 7,C Major Seventh,C,0,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,cmaj7 chord,2900,cmaj7 piano,1300,UNCHECKED,NO_CHANGE_APPROVED
/chords/c-major,Detail,Major,C major,C,0,False,True,早期 Major/Minor 产品库（本轮未定位逐URL首增commit）,当前CSV+用户Cursor报告；不是直接读取Git工作树,OUTSIDE_138_COHORT,,,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/c-minor,Detail,Minor,C minor,C,0,False,True,早期 Major/Minor 产品库（本轮未定位逐URL首增commit）,当前CSV+用户Cursor报告；不是直接读取Git工作树,OUTSIDE_138_COHORT,,,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/c-sharp-minor,Detail,Minor,C-sharp Minor,C#,1,True,False,早期 Major/Minor 产品库（本轮未定位逐URL首增commit）,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,c sharp minor chord,1600,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/c-sus2,Detail,Sus2,C Suspended 2nd,C,0,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,csus2 chord,260,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/c-sus4,Detail,Sus4,C Suspended 4th,C,0,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,csus4 chord,210,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-7,Detail,Dominant 7,D Dominant Seventh,D,2,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,d7 chord,6600,d 7th chord piano,1300,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-add9,Detail,Add9,D add9,D,2,True,False,Add 产品补全：2类型×12根音；N2D关联来自历史记录，commit待核,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,dadd9 chord,140,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-augmented,Detail,Augmented,D Augmented,D,2,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,d augmented chord,390,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-diminished,Detail,Diminished,D Diminished,D,2,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,d diminished chord,880,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-flat-7,Detail,Dominant 7,D♭ Dominant Seventh,Db,1,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,db7 chord,260,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-flat-add9,Detail,Add9,D-flat add9,Db,1,True,False,Add 产品补全：2类型×12根音；N2D关联来自历史记录，commit待核,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,dbadd9,20,dbadd9 piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-flat-augmented,Detail,Augmented,D♭ Augmented,Db,1,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,d flat augmented chord,20,dbaug piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-flat-diminished,Detail,Diminished,D♭ Diminished,Db,1,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,d flat diminished chord,90,dbdim piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-flat-m7,Detail,Minor 7,D♭ Minor Seventh,Db,1,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,dbm7 chord,20,dbm7 piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-flat-m7-flat5,Detail,Half-diminished 7,D♭ Half-Diminished Seventh,Db,1,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,ZERO_OBSERVED_ONLY,dbm7b5 piano,0,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-flat-madd9,Detail,Minor Add9,D-flat minor add9,Db,1,True,False,Add 产品补全：2类型×12根音；N2D关联来自历史记录，commit待核,当前CSV+用户Cursor报告；不是直接读取Git工作树,NO_NUMERIC_DATA,,,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-flat-maj7,Detail,Major 7,D♭ Major Seventh,Db,1,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,dbmaj7 chord,40,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-flat-major,Detail,Major,D-flat Major,Db,1,True,False,早期 Major/Minor 产品库（本轮未定位逐URL首增commit）,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,d flat major chord,880,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-flat-sus2,Detail,Sus2,D♭ Suspended 2nd,Db,1,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,dbsus2,20,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-flat-sus4,Detail,Sus4,D♭ Suspended 4th,Db,1,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,dbsus4,20,dbsus4 piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-m7,Detail,Minor 7,D Minor Seventh,D,2,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,dm7 chord,3600,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-m7-flat5,Detail,Half-diminished 7,D Half-Diminished Seventh,D,2,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,d half diminished chord,110,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-madd9,Detail,Minor Add9,D minor add9,D,2,True,False,Add 产品补全：2类型×12根音；N2D关联来自历史记录，commit待核,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,dmadd9 chord,20,dm(add9) piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-maj7,Detail,Major 7,D Major Seventh,D,2,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,dmaj7 chord,720,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-major,Detail,Major,D Major,D,2,True,False,早期 Major/Minor 产品库（本轮未定位逐URL首增commit）,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,d major chord,4400,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-minor,Detail,Minor,D Minor,D,2,True,False,早期 Major/Minor 产品库（本轮未定位逐URL首增commit）,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,d minor chord,12100,d minor chord piano,4400,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-sus2,Detail,Sus2,D Suspended 2nd,D,2,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,dsus2 chord,390,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/d-sus4,Detail,Sus4,D Suspended 4th,D,2,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,dsus4 chord,390,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/e-7,Detail,Dominant 7,E Dominant Seventh,E,4,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,e7 chord,6600,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/e-add9,Detail,Add9,E add9,E,4,True,False,Add 产品补全：2类型×12根音；N2D关联来自历史记录，commit待核,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,eadd9 chord,30,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/e-augmented,Detail,Augmented,E Augmented,E,4,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,e augmented chord,320,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/e-diminished,Detail,Diminished,E Diminished,E,4,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,e diminished chord,1300,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/e-flat-7,Detail,Dominant 7,E♭ Dominant Seventh,Eb,3,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,eb7 chord,390,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/e-flat-add9,Detail,Add9,E-flat add9,Eb,3,True,False,Add 产品补全：2类型×12根音；N2D关联来自历史记录，commit待核,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,ebadd9 chord,20,ebadd9 piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/e-flat-augmented,Detail,Augmented,E♭ Augmented,Eb,3,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,e flat augmented chord,70,ebaug piano,20,UNCHECKED,NO_CHANGE_APPROVED
/chords/e-flat-diminished,Detail,Diminished,E♭ Diminished,Eb,3,True,False,N2B：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,e flat diminished chord,390,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/e-flat-m7,Detail,Minor 7,E♭ Minor Seventh,Eb,3,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,ebm7 chord,140,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/e-flat-m7-flat5,Detail,Half-diminished 7,E♭ Half-Diminished Seventh,Eb,3,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,ebm7b5 chord,20,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/e-flat-madd9,Detail,Minor Add9,E-flat minor add9,Eb,3,True,False,Add 产品补全：2类型×12根音；N2D关联来自历史记录，commit待核,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_1_TO_99,ebmadd9,20,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/e-flat-maj7,Detail,Major 7,E♭ Major Seventh,Eb,3,True,False,N2C：4类型×12根音；有旧完成报告,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,ebmaj7 chord,170,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/e-flat-major,Detail,Major,E-flat Major,Eb,3,True,False,早期 Major/Minor 产品库（本轮未定位逐URL首增commit）,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,e flat major chord,1900,,,UNCHECKED,NO_CHANGE_APPROVED
/chords/e-flat-minor,Detail,Minor,E-flat Minor,Eb,3,True,False,早期 Major/Minor 产品库（本轮未定位逐URL首增commit）,当前CSV+用户Cursor报告；不是直接读取Git工作树,OBSERVED_100_PLUS,e flat minor chord,590,,,UNCHECKED,NO_CHANGE_APPROVED
