id	from	href	anchor	relation	placement	target_registered_in_b3_snapshot	published_now	activation
L030	/chords/b-major	/guide/piano-chords	Learn how chord symbols and bass notes work	learning	after theory	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L031	/chords/b-major	/keyboard-notes/finger-numbers	Read left- and right-hand finger numbers	finger_legend	root fingering explanation	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L032	/chords/b-major	/chords/b-major#practice	Try the note-building exercise	practice	after direct answer	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L033	/chords	/chords/a-flat-major	A-flat Major Piano Chord (A♭)	catalogue_detail	matching hub card	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L034	/chords/a-flat-major	/chords	Browse the piano chord chart	parent	breadcrumb and related	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L035	/chords/a-flat-major	/chords/a-major	Compare A-flat major with A major	transposition	specific comparison or connection paragraph	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L036	/chords/a-flat-major	/chords/c-minor	Explore shared tones with C minor	shared_tones	specific comparison or connection paragraph	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L037	/chords/a-flat-major	/guide/piano-chords	Learn how chord symbols and bass notes work	learning	after theory	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L038	/chords/a-flat-major	/keyboard-notes/finger-numbers	Read left- and right-hand finger numbers	finger_legend	root fingering explanation	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L039	/chords/a-flat-major	/chords/a-flat-major#practice	Try the note-building exercise	practice	after direct answer	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L040	/chords	/chords/c-flat-major	C-flat Major Piano Chord (C♭)	catalogue_detail	matching hub card	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L041	/chords/c-flat-major	/chords	Browse the piano chord chart	parent	breadcrumb and related	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L042	/chords/c-flat-major	/chords/b-major	Compare C-flat with B major	enharmonic	specific comparison or connection paragraph	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L043	/chords/c-flat-major	/chords/c-major	Compare C-flat major with C major	transposition	specific comparison or connection paragraph	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L044	/chords/c-flat-major	/keyboard-notes	Check an exact pitch and octave	octave_reference	specific comparison or connection paragraph	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L045	/chords/c-flat-major	/guide/piano-chords	Learn how chord symbols and bass notes work	learning	after theory	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L046	/chords/c-flat-major	/keyboard-notes/finger-numbers	Read left- and right-hand finger numbers	finger_legend	root fingering explanation	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L047	/chords/c-flat-major	/chords/c-flat-major#practice	Try the note-building exercise	practice	after direct answer	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L048	/chords/c-major	/chords/c-minor	Change E to E-flat: C minor	parallel_quality	relevant existing theory/connection block; do not rewrite existing body	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L049	/chords/c-major	/chords/g-major	Compare C with G major	harmonic_context	relevant existing theory/connection block; do not rewrite existing body	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L050	/chords/a-minor	/chords/e-major	Understand E major in an A-minor context	harmonic_context	relevant existing theory/connection block; do not rewrite existing body	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L051	/chords/a-major	/chords/e-major	Compare A major with E major	harmonic_context	relevant existing theory/connection block; do not rewrite existing body	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L052	/chords/a-major	/chords/a-flat-major	Compare A and A-flat major	transposition	relevant existing theory/connection block; do not rewrite existing body	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L053	/chords	/guide/piano-chords	New to chords? Start with a guided example	learning	existing learning/related section	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L054	/chords	/keyboard-notes/finger-numbers	Understand piano finger numbers	finger_legend	how to read the chart	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L055	/chords/a-minor	/guide/piano-chords	New to chords? Start with a guided example	learning	existing learning/related section	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L056	/chords/a-minor	/keyboard-notes/finger-numbers	Understand piano finger numbers	finger_legend	fingering explanation	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L057	/chords/a-major	/guide/piano-chords	New to chords? Start with a guided example	learning	existing learning/related section	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L058	/chords/a-major	/keyboard-notes/finger-numbers	Understand piano finger numbers	finger_legend	fingering explanation	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L059	/chords/c-major	/guide/piano-chords	New to chords? Start with a guided example	learning	existing learning/related section	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L060	/chords/c-major	/keyboard-notes/finger-numbers	Understand piano finger numbers	finger_legend	fingering explanation	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L061	/chords	/chords/by-key	Find chords in a key	task_mode	Chords submenu and lower section	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L062	/chords	/chord-progressions	Connect chords in a progression	application	Chords submenu and lower section	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L063	/chords	/chords/finder	Identify a chord from its notes	reverse_lookup	Chords submenu only after engine works	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L064	/chords/a-minor	/chords/by-key	See this chord in a key	harmonic_context	after context explanation	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L065	/chords/c-major	/chords/by-key	See this chord in a key	harmonic_context	after context explanation	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L066	/chords/g-major	/chords/by-key	See this chord in a key	harmonic_context	after context explanation	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L067	/chords/e-major	/chords/by-key	See this chord in a key	harmonic_context	after context explanation	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L068	/chords/b-major	/chords/by-key	See this chord in a key	harmonic_context	after context explanation	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L069	/chords/a-major	/chords/by-key	See this chord in a key	harmonic_context	after context explanation	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L070	/guide/piano-chords	/chords	Open the piano chord chart	lookup	after instructions	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L071	/keyboard-notes/finger-numbers	/chords	Open the piano chord chart	lookup	after instructions	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L072	/chords/by-key	/chords	Open the piano chord chart	lookup	after instructions	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L073	/chord-progressions	/chords	Open the piano chord chart	lookup	after instructions	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L074	/chords/finder	/chords	Open the piano chord chart	lookup	after instructions	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L075	/guide	/guide/piano-chords	Learn to read and play chord symbols	learning	relevant guide list	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L076	/keyboard-notes	/keyboard-notes/finger-numbers	Learn what piano finger numbers mean	finger_legend	related	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L077	/guide/piano-chords	/chords/c-major	Try C major with its note reference	worked_example	start-here	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L078	/guide/piano-chords	/chords/a-minor	Check A minor and its inversions	worked_example	first-change	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L079	/guide/piano-chords	/chords/g-major	Look up G major	worked_example	starter table	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L080	/guide/piano-chords	/keyboard-notes/finger-numbers	Read the hand-number chart	prerequisite	hands	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L081	/guide/piano-chords	/chord-progressions	Try the four-bar C-major example	next_task	next-step	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L082	/keyboard-notes/finger-numbers	/chords/c-major	See a specific C-major hand example	application	use-in-context	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L083	/keyboard-notes/finger-numbers	/chords/a-minor	See a specific A-minor hand example	application	use-in-context	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L084	/keyboard-notes/finger-numbers	/scales/c-major	Read the C-major scale reference	application	use-in-context	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L085	/chords/by-key	/chord-progressions	Turn Roman numerals into a progression	application	use-the-table	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L086	/chords/by-key	/scales/c-major	Check the C-major scale notes	basis	C major table caption	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L087	/chords/by-key	/chords/c-major	View C major chord details	table_object	matching table rows	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L088	/chord-progressions	/chords/c-major	Check c major notes	bar_object	matching bar chord label	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L089	/chords/by-key	/chords/a-minor	View  chord details	table_object	matching table rows	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L090	/chord-progressions	/chords/a-minor	Check a minor notes	bar_object	matching bar chord label	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L091	/chords/by-key	/chords/g-major	View G major chord details	table_object	matching table rows	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L092	/chord-progressions	/chords/g-major	Check g major notes	bar_object	matching bar chord label	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L093	/chords/by-key	/chords/e-major	View E major chord details	table_object	matching table rows	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L094	/chord-progressions	/chords/e-major	Check e major notes	bar_object	matching bar chord label	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L095	/chords/by-key	/chords/b-major	View B major chord details	table_object	matching table rows	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L096	/chord-progressions	/chords/b-major	Check b major notes	bar_object	matching bar chord label	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L097	/chords/by-key	/chords/a-major	View A major chord details	table_object	matching table rows	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L098	/chord-progressions	/chords/a-major	Check a major notes	bar_object	matching bar chord label	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L099	/chord-progressions	/chords/by-key	Read the degrees in the selected key	basis	pattern-notes	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L100	/chord-progressions	/guide/piano-chords	Start with individual chord symbols	prerequisite	what-next	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L101	/chords/finder	/chords/c-major	Open the c major reference	candidate_detail	only when returned candidate maps exactly to published object	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L102	/chords/finder	/chords/c-minor	Open the c minor reference	candidate_detail	only when returned candidate maps exactly to published object	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L103	/chords/finder	/chords/a-minor	Open the a minor reference	candidate_detail	only when returned candidate maps exactly to published object	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L104	/chords/finder	/keyboard-notes	Check an input note and octave	input_help	how-to-enter	True	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
L105	/chords/finder	/guide/piano-chords	Understand root, quality and bass	explanation	read-results	False	False	source exists AND target is in active route registry AND target content/declared actions pass AND (fragment is null OR target anchor exists)
