id	representative	originalTarget	finalTarget	currentEvidenceState	required_output	completionAction	synonyms	other_queries	source
P163	c chords piano	/chords/c-major	/chords/c-major	reported_implementation_exists_content_task_needs_evidence	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接	retain_and_verify_against_required_output	"[""c chord piano""]"	[]	piano_keyword_research_combined.xlsx｜关键词数据!A400:G400
P126	piano fingering chart	/keyboard-notes/finger-numbers	/keyboard-notes/finger-numbers	reported_delivered_limited	左右手编号图；基础使用说明；链接到具体和弦/音阶指法	preserve_hand_numbers_not_universal_fingering	"[""piano finger chart""]"	[]	piano_keyword_research_combined.xlsx｜关键词数据!A45:G45
P150	b chord piano	/chords/b-major	/chords/b-major	reported_implementation_exists_content_task_needs_evidence	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接	retain_and_verify_against_required_output	"[""b piano chord"", ""b major chord in piano"", ""b major chords on piano"", ""chord b on piano"", ""b chord on piano"", ""b chord on the piano"", ""b major piano chord"", ""b chords piano"", ""piano chord b"", ""piano chords b major""]"	[]	piano_keyword_research_combined.xlsx｜关键词数据!A300:G300
P155	a flat chord piano	/chords/a-flat-major	/chords/a-flat-major	reported_implementation_exists_content_task_needs_evidence	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接	retain_and_verify_against_required_output	"[""a flat piano chord"", ""ab chord on piano"", ""a flat chords piano"", ""piano a flat chord"", ""ab chord piano"", ""ab piano chord""]"	[]	piano_keyword_research_combined.xlsx｜关键词数据!A335:G335
P162	piano e chord	/chords/e-major	/chords/e-major	reported_implementation_exists_content_task_needs_evidence	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接	retain_and_verify_against_required_output	[]	[]	piano_keyword_research_combined.xlsx｜关键词数据!A389:G389
P166	c minor in piano	/chords/c-minor	/chords/c-minor	reported_implementation_exists_content_task_needs_evidence	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接	retain_and_verify_against_required_output	[]	[]	piano_keyword_research_combined.xlsx｜关键词数据!A488:G488
P167	cb piano chord	/chords/c-flat-major	/chords/c-flat-major	reported_implementation_exists_content_task_needs_evidence	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接	retain_and_verify_against_required_output	[]	[]	piano_keyword_research_combined.xlsx｜关键词数据!A489:G489
P169	g chord piano	/chords/g-major	/chords/g-major	reported_implementation_exists_content_task_needs_evidence	当前和弦的音名/键位/音程；原位和转位；可用时播放；清晰指法说明；相关查询链接	retain_and_verify_against_required_output	[]	[]	关键词策略构建器数据汇总.md｜L163｜piano chord chart > piano scales; 关键词策略构建器数据汇总.md｜L511｜piano scales > piano scales and fingering
P152	chords of key	/chords/by-key	/chords/by-key	reported_implementation_exists_content_task_needs_evidence	有内容的调性选择器与各级和弦表；支持已有G/D/C/E/A/F及D minor任务	retain_and_verify_against_required_output	"[""major key chords"", ""chords in a key"", ""key chord chart"", ""key chords"", ""chords in key"", ""key and chord chart""]"	[]	piano_keyword_research_combined.xlsx｜关键词数据!A310:G310
P156	chords in g major scale piano	/chords/by-key#g-major	/chords/by-key#g-major	reported_implementation_exists_content_task_needs_evidence	查G大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。	retain_and_verify_against_required_output	"[""g major scale piano chords"", ""piano chords in key of g"", ""key of g piano chords"", ""key of g chords piano"", ""chords in the key of g piano""]"	[]	piano_keyword_research_combined.xlsx｜关键词数据!A49:G49
P157	d major scale piano chords	/chords/by-key#d-major	/chords/by-key#d-major	reported_implementation_exists_content_task_needs_evidence	查D大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。	retain_and_verify_against_required_output	"[""d major scale chords piano""]"	[]	piano_keyword_research_combined.xlsx｜关键词数据!A74:G74
P159	c major scale chords piano	/chords/by-key#c-major	/chords/by-key#c-major	reported_implementation_exists_content_task_needs_evidence	查C大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。	retain_and_verify_against_required_output	"[""c major scale piano chords"", ""chords in the key of c piano"", ""piano chords in the key of c""]"	[]	piano_keyword_research_combined.xlsx｜关键词数据!A102:G102
P160	piano chords in e	/chords/by-key#e-major	/chords/by-key#e-major	reported_implementation_exists_content_task_needs_evidence	查E大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。	retain_and_verify_against_required_output	"[""e major scale chords piano""]"	[]	piano_keyword_research_combined.xlsx｜关键词数据!A369:G369
P161	piano chords in a	/chords/by-key#a-major	/chords/by-key#a-major	reported_implementation_exists_content_task_needs_evidence	查询A大调和弦集合；必须在该页提供实际结果，不只增加一个关键词。	retain_and_verify_against_required_output	[]	"[""chords in the key of a"", ""chords of a major key"", ""a major key chords"", ""chords in the key of a major"", ""a major scale chords"", ""chords for the key of a"", ""chords key a"", ""key of a chords"", ""chords in key of a"", ""chords in the a major scale"", ""chords for key of a"", ""chords in key a"", ""chords for a major""]"	piano_keyword_research_combined.xlsx｜关键词数据!A388:G388
P164	key of f chords piano	/chords/by-key#f-major	/chords/by-key#f-major	reported_implementation_exists_content_task_needs_evidence	查F大调各级和弦；必须在该页提供实际结果，不只增加一个关键词。	retain_and_verify_against_required_output	"[""f major scale chords piano"", ""key of f piano chords"", ""piano chords in the key of f""]"	[]	piano_keyword_research_combined.xlsx｜关键词数据!A712:G712
P165	d minor scale piano chords	/chords/by-key#d-minor	/chords/by-key#d-minor	reported_implementation_exists_content_task_needs_evidence	查D小调各级和弦；必须在该页提供实际结果，不只增加一个关键词。	retain_and_verify_against_required_output	[]	[]	piano_keyword_research_combined.xlsx｜关键词数据!A254:G254
P153	chord finder piano	/chords/finder	/chords/finder	reported_limited	选择音符；列出可能命名、低音与拼写说明	cross_family_finder	"[""chord namer piano"", ""piano chord namer"", ""what chord is this piano"", ""name chord piano""]"	"[""naming chords piano""]"	piano_keyword_research_combined.xlsx｜关键词数据!A327:G327
P172	common chord progressions	/chord-progressions#common	/chord-progressions#common	reported_implementation_exists_content_task_needs_evidence	常见和弦走向集合；必须在该页提供实际结果，不只增加一个关键词。	retain_and_verify_against_required_output	"[""popular chord progressions"", ""most common chord progressions"", ""famous chord progressions"", ""common chord patterns"", ""common chord sequences"", ""most common chord progression"", ""popular chord progression""]"	[]	piano_keyword_research_combined.xlsx｜关键词数据!A307:G307
P173	piano chord progressions	/chord-progressions	/chord-progressions	reported_implementation_exists_content_task_needs_evidence	常见走向列表；C/E/A调转写选择；优美/愉快效果标签；含义与使用说明；打印	retain_and_verify_against_required_output	"[""piano chords and progressions"", ""chord progressions piano"", ""piano chord sequences"", ""piano progressions"", ""chord patterns piano"", ""piano progression chords"", ""chord progression piano"", ""piano chord progression""]"	"[""chord sequences"", ""piano chord progressions pdf""]"	piano_keyword_research_combined.xlsx｜关键词数据!A317:G317
P174	c major chord progressions	/chord-progressions#c-major	/chord-progressions#c-major	reported_implementation_exists_content_task_needs_evidence	C大调和弦走向；必须在该页提供实际结果，不只增加一个关键词。	retain_and_verify_against_required_output	[]	[]	piano_keyword_research_combined.xlsx｜关键词数据!A377:G377
P175	common chord progressions key of e	/chord-progressions#e-major	/chord-progressions#e-major	reported_implementation_exists_content_task_needs_evidence	E调常用和弦走向；必须在该页提供实际结果，不只增加一个关键词。	retain_and_verify_against_required_output	[]	[]	piano_keyword_research_combined.xlsx｜关键词数据!A380:G380
P176	a major chord progression	/chord-progressions#a-major	/chord-progressions#a-major	reported_implementation_exists_content_task_needs_evidence	A大调和弦走向；必须在该页提供实际结果，不只增加一个关键词。	retain_and_verify_against_required_output	[]	[]	piano_keyword_research_combined.xlsx｜关键词数据!A416:G416
P177	beautiful chord progressions piano	/chord-progressions#beautiful	/chord-progressions#beautiful	not_proven_by_page_tests	查询优美钢琴和弦走向；必须在该页提供实际结果，不只增加一个关键词。	subjective_example_with_controls	"[""pretty piano chord progressions""]"	"[""cool chord progressions"", ""beautiful chord progressions"", ""cool chord sequences""]"	piano_keyword_research_combined.xlsx｜关键词数据!A487:G487
P178	happy chord progressions	/chord-progressions#happy	/chord-progressions#happy	not_proven_by_page_tests	愉快情绪和弦走向；必须在该页提供实际结果，不只增加一个关键词。	subjective_example_with_controls	[]	[]	piano_keyword_research_combined.xlsx｜关键词数据!A495:G495
P237	what are chord progressions	/chord-progressions#how-it-works	/chord-progressions#how-it-works	reported_implementation_exists_content_task_needs_evidence	说明走向是什么，附可试弹例子。	retain_and_verify_against_required_output	"[""how to make chord progressions""]"	[]	piano_keyword_research_combined.xlsx｜关键词数据!A444:G444
P220	how to play chords on piano	/guide/piano-chords	/guide/piano-chords	reported_implementation_exists_content_task_needs_evidence	步骤、构成、指法示意及连接练习；链接查图工具	retain_and_verify_against_required_output	"[""piano playing by chords""]"	"[""chord structure piano"", ""piano chord shapes""]"	piano_keyword_research_combined.xlsx｜关键词数据!A311:G311
P225	basic piano chords	/guide/piano-chords#beginner	/guide/piano-chords#beginner	reported_implementation_exists_content_task_needs_evidence	初学钢琴基础和弦选择与弹法；必须在该页提供实际结果，不只增加一个关键词。	retain_and_verify_against_required_output	"[""easy piano chords"", ""piano keyboard chords for beginners"", ""piano basic chords"", ""piano beginner chords"", ""basic piano chord"", ""keyboard piano chords beginner""]"	"[""piano chords chart for beginners""]"	piano_keyword_research_combined.xlsx｜关键词数据!A325:G325
P242	piano chord transitions	/guide/piano-chords#transitions	/guide/piano-chords#transitions	not_proven_by_page_tests	练习钢琴和弦连接/换和弦动作；必须在该页提供实际结果，不只增加一个关键词。	guided_transitions	[]	[]	piano_keyword_research_combined.xlsx｜关键词数据!A514:G514
