id,date_added,date_submitted,date_verified,platform,category,source_url,target_url,anchor,rel,status,competitor_source,next_action,notes
BL-015,2026-09-18,,,Colin Dorman 理论资源页,teacher_outreach,https://colindorman.com/horn/free-online-resources-for-learning-music-theory/,https://pianogrid.com/chords,PianoGrid,unknown,DRAFT,musicca.com,你稍后用 hello@yangweiwei.dev 发草稿；不要走圆号课报名表,页内已列 Musicca。公开课报名表是 Student/Parent 字段，不适合当产品投稿。草稿见 outreach-drafts.md。
BL-016,2026-09-18,,,Midnight Music,teacher_outreach,https://midnightmusic.com/2021/08/6-music-theory-websites-for-primary-secondary-music-classrooms/,https://pianogrid.com,,unknown,SKIP,musicca.com,不联系,联系页写明不接受未邀约产品投稿。
BL-017,2026-09-18,,,GitHub awesome-music,github,https://github.com/noteflakes/awesome-music,https://pianogrid.com,PianoGrid,unknown,SKIP,,不提 PR,CONTRIBUTING 质量标准要求 actively maintained + documented + tests。PianoGrid 是网站参考工具，硬塞进去不合规。
BL-018,2026-09-18,,,Practis,resource_list,https://pract.is/blog/best-free-piano-apps-in-2026-that-actually-teach-you-something,https://pianogrid.com,PianoGrid,unknown,DRAFT,musicca.com,等找到编辑联系方式再发；不要走销售/Demo 表,已读全文。作者是 Pract.is Editorial。销售表是产品 demo，不适合当投稿。草稿已写。
BL-019,2026-09-18,2026-09-18,2026-09-18,Schooltools,teacher_outreach,https://www.schooltools.at/2023/07/02/musicca/,https://pianogrid.com,PianoGrid,unknown,SUBMITTED,musicca.com,查 hello@yangweiwei.dev；过几天核有没有新条目,联系页明确欢迎缺漏工具建议。已通过 https://www.schooltools.at/kontakt/ 发出。回执：Vielen Dank für die Nachricht. Sie wurde gesendet。
BL-020,2026-09-18,2026-09-18,2026-09-18,MusicianStack,directory,https://musicianstack.com/submit/,https://pianogrid.com,PianoGrid,unknown,SUBMITTED,,人工审核；查邮箱并过几天搜 musicianstack 有没有 PianoGrid,对方写明欢迎缺失的音乐工具。分类 Music Education。Formspree thanks 页确认 submitted successfully。
BL-021,2026-09-18,,,Chisnallwood Music,teacher_outreach,https://chisnallwoodmusic.org.nz/useful-music-links/,https://pianogrid.com,PianoGrid,unknown,DRAFT,muted.io,你稍后决定是否发；这是学校音乐项目邮箱,Useful Music Links 已列 muted.io 和 Musicca。联系人 Emma Jarman / ejarman@chisnallwood.school.nz。不自动往学校邮箱群发。
BL-022,2026-09-18,,,TinyLaunch,directory,https://www.tinylaunch.com/submit-product,https://pianogrid.com,PianoGrid,unknown,SKIP,,不做,dofollow 以外链回链/徽章为前提，不能改 PianoGrid 页面加徽章。
BL-023,2026-09-18,2026-09-18,2026-09-18,Rolando Gomez Learning Resources,teacher_outreach,https://learn.rolandojgomez.com/submit/,https://pianogrid.com,PianoGrid,unknown,SUBMITTED,musictheory.net,查邮箱；过几天核 Western Music Theory 或 User Submissions,页面明确欢迎免费/少广告的乐理与 web tools。分类 Music Theory + Web Tools。Formspree thanks 页确认 submitted successfully。
BL-024,2026-09-18,,,Acoustic Bridge,teacher_outreach,https://acousticbridge.com/piano-resources/,https://pianogrid.com/chords,PianoGrid,unknown,DRAFT,pianochord.org,你稍后决定是否发；联系页是通用表单不是邀稿,Chords/Scale/Theory 已列 pianochord.org。页面 2022 年后未更新。草稿见 outreach-drafts.md。
BL-025,2026-09-18,2026-09-18,2026-09-20,SaaSHub,directory,https://www.saashub.com/services/submit,https://pianogrid.com,PianoGrid,unknown,SUBMITTED,muted.io,等审核通过；可选登录认领 https://www.saashub.com/pianogrid/added，不必付费。不要重提,2026-09-20 公开页 https://www.saashub.com/pianogrid 已存在，文案 Pending approval。回执仍是 /pianogrid/added。未买 $75。
BL-026,2026-09-18,2026-09-18,2026-09-18,Launching Next,directory,https://www.launchingnext.com/submit/,https://pianogrid.com,PianoGrid,unknown,SUBMITTED,muted.io,不买 $99 Fast-Track；查邮箱和 https://www.launchingnext.com/thanks/?i=151942,对方已列 muted.io 的 scales 工具并公开邀稿。免费排队约 4 个月。跳过付费插队。
BL-027,2026-09-18,,,I Can Compose,teacher_outreach,https://www.icancompose.com/free-online-composing-tools-for-the-music-classroom/,https://pianogrid.com/chords,PianoGrid,unknown,QUEUE,muted.io,先观察；对方列表是课堂作曲工具不是查阅,2025-11 更新。已列 Musicca 与 muted.io。联系页是通用表单。PianoGrid 不是作曲工具，不硬推。
BL-028,2026-09-18,,,Carroll CC Library,teacher_outreach,https://library.carrollcc.edu/c.php?g=98637&p=639266,https://pianogrid.com,PianoGrid,unknown,QUEUE,musicca.com,不把馆员咨询表当产品投稿,Music Theory 指南已列 Musicca（含 printable staff paper）。高校 libguide，等有明确 suggest-a-resource 再写。
BL-029,2026-09-18,,,Startup Fast,directory,https://www.startupfa.st/,https://pianogrid.com,PianoGrid,unknown,SKIP,,不做,宣传 Quality Backlinks 的投稿站，当垃圾目录。
BL-030,2026-09-18,2026-09-18,2026-09-18,Music Industry Toolkit,directory,https://themusicindustrytoolkit.com/request-something-1,https://pianogrid.com,PianoGrid,unknown,SUBMITTED,muted.io,查邮箱；过几天搜 toolkit 有没有 PianoGrid,目录已列 Muted.io。Tally 表 https://tally.so/r/mJ998X 回执 Form submitted / Thanks for completing this form。
BL-031,2026-09-18,,,Building Beats Toolbox,teacher_outreach,https://buildingbeats.org/toolbox/category/Music+Production,https://pianogrid.com,PianoGrid,unknown,DRAFT,muted.io,你用 hello@yangweiwei.dev 发 info@buildingbeats.org,Toolbox 顶部写 Submit a tool。已列 Muted.io。只有邮箱没有表单。草稿见 outreach-drafts.md。
BL-032,2026-09-18,,,GitHub awesome-music-production,github,https://github.com/ad-si/awesome-music-production,https://pianogrid.com,PianoGrid,unknown,NEEDS_LOGIN,muted.io,登录后在 Knowledge 区 muted.io 旁提 PR,已列 muted.io、Lightnote。无 CONTRIBUTING 文件。条目草稿已写。
BL-033,2026-09-18,,,Nova Music,teacher_outreach,https://trynovamusic.com/resources/share,https://pianogrid.com,PianoGrid,unknown,SKIP,,不做,公开邀稿但现有库全是打印 PDF 教案，不是网站工具。
BL-034,2026-09-18,,,Producer Society,teacher_outreach,https://producersociety.com/how-to-find-key-of-a-song/,https://pianogrid.com/chords,PianoGrid,unknown,SKIP,piano-keyboard-guide.com,不联系,文章用 piano-keyboard-guide 查调和弦。联系页导向咨询通话，不是邀稿。
BL-035,2026-09-18,2026-09-18,2026-09-18,Music Tech Hub,teacher_outreach,https://musictechhub.org/free-browser-based-apps/,https://pianogrid.com/chords,PianoGrid,unknown,SUBMITTED,muted.io,用草稿回复 Bradley；几周后再核 Free Browser Based Apps 与 useful music apps for educators,创始人 Bradley 2026-09-18 回复：会放到 useful music apps for educators 页，需几周。问了另有没有音乐 app、开发背景。尚未 LIVE。回复草稿见 outreach-drafts.md。
BL-036,2026-09-18,,,GitHub Useful-Free-Online-Tools,github,https://github.com/J0rgeSerran0/Useful-Free-Online-Tools-and-Sites,https://pianogrid.com/chords,PianoGrid,unknown,NEEDS_LOGIN,muted.io,登录后在 8notes Piano Chord Chart 旁提 PR,已列 muted.io 鼓机工具和 8notes piano chord chart。约 57 stars。无 CONTRIBUTING 文件。草稿见 outreach-drafts.md。
BL-037,2026-09-18,,,Plugin Nation,teacher_outreach,https://plugin-nation.com/blog/interactive-circle-of-fifths-chart/,https://pianogrid.com/scales,PianoGrid,unknown,SKIP,muted.io,不联系,博文推荐 muted.io 五度圈，但是免费 VST 插件站。/contact 与 /about 都是 404，没有邀稿口。
BL-038,2026-09-18,2026-09-18,2026-09-21,PersonalWebsites.org,directory,https://personalwebsites.org/submit,https://pianogrid.com,PianoGrid,unknown,SKIP,muted.io,不再 Edit、不再申诉、不加回链,2026-09-18 以产品名提交后 REJECTED。2026-09-21 用户决定废弃：站点流量不足，不值得继续。
BL-039,2026-09-18,,,GitHub thekeypals/useful-links,github,https://github.com/thekeypals/useful-links,https://pianogrid.com/chords,PianoGrid,unknown,NEEDS_LOGIN,musicca.com,登录后按对方说明开 GitHub issue（或 PR）；草稿见 outreach-drafts.md,已列 Musicca；Tools 区已用 muted.io 的 BPM/转调/音程/频率工具。README 写明欢迎 suggestions，优先开 issue。0 stars，但是邀稿明确。
BL-040,2026-09-18,,,SCAD MUSC 101 libguide,teacher_outreach,https://scad.libguides.com/musc101/creation,https://pianogrid.com,PianoGrid,unknown,QUEUE,muted.io,等有明确 suggest-a-resource 再写；不把馆员咨询表当产品投稿,Online Resources for Making Music 已列 Muted。高校 libguide，规则同 Carroll。
BL-041,2026-09-18,,,SMC Music libguide,teacher_outreach,https://smc.libguides.com/c.php?g=936123&p=6751674,https://pianogrid.com,PianoGrid,unknown,QUEUE,musicca.com,等有明确 suggest-a-resource 再写,已列 Musicca Online exercises。高校 libguide，规则同 Carroll。
BL-042,2026-09-18,,,Coastal Pines Music Appreciation,teacher_outreach,https://libguides.coastalpines.edu/c.php?g=1507255&p=11267820,https://pianogrid.com,PianoGrid,unknown,QUEUE,musicca.com,等有明确 suggest-a-resource 再写,Educational Websites 已列 Musicca 与 Chrome Music Lab。高校 libguide，规则同 Carroll。
BL-043,2026-09-18,,,Hip Hop Makers,teacher_outreach,https://hiphopmakers.com/best-free-piano-chord-charts,https://pianogrid.com/chords,PianoGrid,unknown,SKIP,8notes.com,不联系,和弦表合集已列 8notes。联系页写明不评测 software / sample kits。
BL-044,2026-09-18,,,Try It Randomly,teacher_outreach,https://tryitrandomly.org/muted-io-music-theory-review/,https://pianogrid.com,PianoGrid,unknown,SKIP,muted.io,不联系,评测 muted.io 的编辑站，没有邀稿或投稿表。
BL-045,2026-09-18,,,MusicianGoods,teacher_outreach,https://www.musiciangoods.com/,https://pianogrid.com,PianoGrid,unknown,SKIP,muted.io,不联系,Muted.io Alternatives 合集偏联盟导购，不是邀稿目录。
BL-046,2026-09-18,,,Berklee Piano LibGuide,teacher_outreach,https://guides.library.berklee.edu/piano,https://pianogrid.com,PianoGrid,unknown,SKIP,,不联系,askalibrarian 是馆藏/指南增补，页面是乐谱与流媒体馆藏，不是免费网站工具列表。
BL-047,2026-09-18,,,GitHub Free-MusicStuff,github,https://github.com/amrbadreldin/Free-MusicStuff,https://pianogrid.com/chords,PianoGrid,unknown,SKIP,pianochord.org,不提 PR,个人资源备忘已列 pianochord.org。无 CONTRIBUTING、无邀稿，1 star。
BL-048,2026-09-18,2026-09-21,2026-09-21,Startupanz,directory,https://startupanz.com/submit-my-startup-profile/,https://pianogrid.com,PianoGrid,unknown,SUBMITTED,muted.io,等 hello@ 回执；过几天搜 startupanz.com 有没有 PianoGrid。不要买 $35 Spotlight,2026-09-21 用户确认已免费提交。Spotlight=No。来源页 2022 已列 muted.io。文案见 outreach-drafts.md。
BL-049,2026-09-18,,,BetaList,directory,https://betalist.com/startups/muted-io,https://pianogrid.com,PianoGrid,unknown,SKIP,muted.io,不买,已列 muted.io，但现在全部付费投稿，没有免费口。
BL-050,2026-09-18,,,GitHub ray-oh/sheet-music,github,https://github.com/ray-oh/sheet-music,https://pianogrid.com/chords,PianoGrid,unknown,SKIP,muted.io,不提 PR,个人笔记已列 muted.io piano chords 和 Musicca metronome。1 star，无邀稿。
BL-051,2026-09-20,,,MTNA Websites for Kids,teacher_outreach,https://www.mtna.org/Websites_for_Kids.html,https://pianogrid.com/chords,PianoGrid,unknown,DRAFT,musicca.com,你用 hello@yangweiwei.dev 发 mtnanet@mtna.org；草稿见 outreach-drafts.md,页面写明欢迎老师分享网站以便更新列表，已列 Musicca、teoria、musictheory.net。Teaching Tips 页联系邮箱 mtnanet@mtna.org。无公开表单。
BL-052,2026-09-20,,,Wellesley Music Theory libguide,teacher_outreach,https://libguides.wellesley.edu/music/musictheory,https://pianogrid.com/chords,PianoGrid,unknown,QUEUE,musicca.com,等有明确 suggest-a-resource 再写；不把馆员咨询当产品投稿,已列 Musicca。高校 libguide，规则同 Carroll。
BL-053,2026-09-20,,,Brown Music Theory libguide,teacher_outreach,https://libguides.brown.edu/music/theory,https://pianogrid.com/chords,PianoGrid,unknown,QUEUE,musicca.com,等有明确 suggest-a-resource 再写,已列 Musicca。高校 libguide，规则同 Carroll。
BL-054,2026-09-20,,,FlowingData,teacher_outreach,https://flowingdata.com/2023/11/09/music-theory-in-interactive-visuals/,https://pianogrid.com,PianoGrid,unknown,SKIP,muted.io,不联系,2023 写过 muted.io 可视化工具。Contact 是 blog post suggestions，不是产品目录邀稿，不当冷推销。
